_id,job_id,tag_name,x,y,insert_time
213748bc-eedf-11e6-9200-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0,2017-02-09 15:47:58.376495
214213b4-eedf-11e6-aa4b-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0,2017-02-09 15:47:58.447314
214b7e36-eedf-11e6-bb75-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0007,2017-02-09 15:47:58.508913
2154f6dc-eedf-11e6-98db-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0007,2017-02-09 15:47:58.570995
215e70c2-eedf-11e6-a4ab-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0014,2017-02-09 15:47:58.633201
2167fa70-eedf-11e6-9200-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0014,2017-02-09 15:47:58.695718
2172916a-eedf-11e6-aa4b-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0028,2017-02-09 15:47:58.765129
217be5d0-eedf-11e6-bb75-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0028,2017-02-09 15:47:58.826261
21854864-eedf-11e6-98db-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0035,2017-02-09 15:47:58.887778
218e9d7e-eedf-11e6-a4ab-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0035,2017-02-09 15:47:58.948946
2199dd6a-eedf-11e6-9200-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0042,2017-02-09 15:47:59.022688
21a342c4-eedf-11e6-bb75-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0042,2017-02-09 15:47:59.084234
21acb020-eedf-11e6-98db-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0049,2017-02-09 15:47:59.146038
21b7d400-eedf-11e6-a4ab-0242ac110002,34add513-cb1a-4035-8f12-5c61e2fb8402,c0.01,0,0.0049,2017-02-09 15:47:59.219042
